Codice AIC;Sost.isce;Sost.ito;Descrizione prodotto;Ditta produttrice;Forma farmaceutica;Principio Attivo;A.T.C. Descrizione;Cod. gruppo;Descrizione gruppo;Tipo prodotto;Doping;Glutine;Stupefacente;Temperatura;Mesi di validita';Validita' dopo apertura;Iva;Prz. Att.;Imp.Assist;PrzRimE.;Obbligatorieta';Particolarita';Cl;Prescrivibilita';Tipo ricetta;Regime SSN;Note prescrizione
045354040;;;ABACAVIR MY*60CPR RIV 300MG;MYLAN SpA;COMPRESSE RIVESTITE DIVISIBILI;ABACAVIR;ABACAVIR;;;FARMACO OSPED. ESITABILE;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;235.86;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;H;PRESCR.SPEC: INFETT;RNRL - LIMITATIVA NON RIPETIB.;DISP.IN F.CIA A CARICO CITTAD.;
043658121;043658071;;ABASAGLAR*SC 5 KWIKPEN 100U/ML;ELI LILLY ITALIA SpA;SOLUZIONE INIETTABILE;INSULINA GLARGINE;INSULINA GLARGINE;;;FARMACO ETICO;S;;;DA 2 A 8 GRADI,NO LUCE,NO CONG;24 MESI;28 GIORNI NON SUP. +30 GRADI;ALIQUOTA 10%;60.69;0.0;0.0;OBBL.1GR.INSULINA UMANA P.I.;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
043658032;;;ABASAGLAR*SC 5CART 100U/ML 3ML;ELI LILLY ITALIA SpA;SOLUZIONE INIETTABILE;INSULINA GLARGINE;INSULINA GLARGINE;;;FARMACO ETICO;S;;;DA 2 A 8 GRADI,NO LUCE,NO CONG;24 MESI;28 GIORNI NON SUP. +30 GRADI;ALIQUOTA 10%;60.69;0.0;0.0;OBBL.1GR.INSULINA UMANA P.I.;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
036816027;;;ABBA*12BUST 875MG+125MG;FIDIA FARMACEUTICI SpA;SOSPENSIONE ORALE POLVERE;AMOXICILLINA TRIIDRATO/POTASSIO CLAVULANATO;AMOXICILLINA ED INIBITORE DELLE BETA-LATTAMASI;CJA;AMOXICILLINA+ACIDO CLAVULANICO 875+125MG 12 UNITA' USO ORALE;FARMACO ETICO;N;;;NON SUP.A +25, IN CONF.ORIGIN.;24 MESI;;ALIQUOTA 10%;7.9;0.0;7.9;OBBL.1GR.PENICILLINA ORALE;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
036816015;;;ABBA*12CPR RIV 875MG+125MG;FIDIA FARMACEUTICI SpA;COMPRESSE RIVESTITE;AMOXICILLINA TRIIDRATO/POTASSIO CLAVULANATO;AMOXICILLINA ED INIBITORE DELLE BETA-LATTAMASI;CJA;AMOXICILLINA+ACIDO CLAVULANICO 875+125MG 12 UNITA' USO ORALE;FARMACO ETICO;N;;;NON SUP.A +25,RIPARO LUCE-UMID;24 MESI;;ALIQUOTA 10%;7.9;0.0;7.9;OBBL.1GR.PENICILLINA ORALE;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
044868026;;;ABERIPRA*28CPR 10MG;ECUPHARMA Srl;COMPRESSE;ARIPIPRAZOLO;ARIPIPRAZOLO;HSA;ARIPIPRAZOLO 10MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;24.9;5.4;19.5;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
044868038;;;ABERIPRA*28CPR 15MG;ECUPHARMA Srl;COMPRESSE;ARIPIPRAZOLO;ARIPIPRAZOLO;HSB;ARIPIPRAZOLO 15MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;24.9;5.4;19.5;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
044868014;;;ABERIPRA*28CPR 5MG;ECUPHARMA Srl;COMPRESSE;ARIPIPRAZOLO;ARIPIPRAZOLO;HSD;ARIPIPRAZOLO 5MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;24.9;5.4;19.5;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
040915098;;;ABESART*28CPR RIV 150MG;GENETIC SpA;COMPRESSE RIVESTITE DIVISIBILI;IRBESARTAN;IRBESARTAN;NJA;IRBESARTAN 150MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;24 MESI;;ALIQUOTA 10%;6.44;0.0;6.44;NON OBBLIGATORIA;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
040915163;;;ABESART*28CPR RIV 300MG;GENETIC SpA;COMPRESSE RIVESTITE DIVISIBILI;IRBESARTAN;IRBESARTAN;NJB;IRBESARTAN 300MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;24 MESI;;ALIQUOTA 10%;8.65;0.0;8.65;NON OBBLIGATORIA;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
